名称,简介,药性,功效,适应症
橄榄油,是由新鲜的油橄榄果实直接冷榨而成的。,富含丰富的单不饱和脂肪酸——油酸，还有维生素A、维生素B、维生素D、维生素E、维生素K及抗氧化物等。,能减少癌症的发生和增强癌症病人化疗和放疗的治疗效果;能减慢老年人神经细胞功能退化和大脑萎缩，进而能预防和推迟发生老年性痴呆;能促进胆汁分泌和激化胰酶的活力，从而可以起到防控胃溃疡、十二指肠溃疡和胆道疾病的作用。,一般人均可食用，但菌痢患者、急性肠胃炎患者、腹泻者以及胃肠功能紊乱者不宜多食…
黄柏,黄柏，为芸香科植物黄皮树或黄檗的干燥树皮，别名黄檗、元柏、檗木、檗皮。呈板片状或浅槽状，长宽不一，厚3～6mm。体轻，质硬，断面纤维性，呈裂片状分层，深黄色。气微，味甚苦，嚼之有粘性。用于湿热泻痢，黄疸，带下，热淋，脚气，痿辟，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹瘙痒。盐黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。1、分布于东北及华北；2、分布于陕西南部、浙江、江西、湖北、四川、贵州、云南、广西等地…,,,
龙胆,为龙胆科植物龙胆或三花龙胆的根及根茎。采挖后，除去茎叶，洗净，晒干。别名：陵游、草龙胆、龙胆草。,苦，寒。入肝、胆经。,泻肝胆实火，除下焦湿热。治肝经热盛，惊痫狂躁，乙型脑炎，头痛，目赤，咽痛，黄疸，热痢，痈肿疮疡，阴囊肿痛，阴部湿痒。,用于湿热黄疽、阴肿阴痒、带下、湿疹瘙痒、耳聋、胁痛、口苦、惊风抽搐。脾胃虚弱作泄及无湿热实火者忌服…
杭白菊,白菊亦名小汤黄、小白菊，为桐乡地区的特产。杭菊在中国有悠久的栽培历史,性微寒，味甘苦。,具有清风散热、明目解毒等功效，同时也是解暑降温、清肝明目、提神、利尿的作用。,可用于治疗湿热黄疸、胃痛食少、水肿尿少、高血压、偏头痛、急性结膜炎等症。
秦皮,本品为木犀科植物苦枥白蜡树、白蜡树、尖叶白蜡树或宿柱白蜡树的干燥枝皮或干皮。春、秋二季剥取，晒干。别名：梣皮。,苦、涩，寒。,清热燥湿，收涩，明目。用于热痢，泄泻，赤白带下，目赤肿痛，目生翳膜。,对湿热下痢、里急后重，常配伍白头翁、黄连、黄柏等同用。用于目赤肿痛等症，可与黄连、竹叶等配伍同用；也可用以煎汁洗眼…
苦参,又名苦骨、川参、凤凰爪、牛参、地骨、野槐根、地参等,苦参味苦，性寒，小毒。归肝、肾、大肠、小肠经。,细菌性痢疾，急性肠胃炎，急性传染性肝炎，小儿肺炎，急性扁桃体炎，慢性气管炎，蓝氏贾第鞭毛虫病，人肠滴虫，滴虫性阴道炎，血吸虫病腹水，抗肿瘤，升白细胞，平喘祛痰，安定，抗过敏，利尿，黄疸，小便不利，水肿，带下，阴痒，疥癣，麻风，皮肤瘙痒等。,用于湿热下痢，黄疸，赤白带下，阴部瘙痒等，与黄柏、龙胆草合用;用于周身风痒，疥疮顽癣，与赤芍、地黄、白藓皮等合用…
白鲜皮,别名白藓皮、八股牛、山牡丹、羊鲜草、北鲜皮、藓皮、野花椒根皮、臭根皮。,性寒；味苦，苦，咸。归脾；肺；小肠；胃；膀胱经。,有抗菌作用，体外试验1：4的水浸液对多种致病真菌如堇色毛癣菌、同心性毛癣菌等均有不同程度的抑制作用；另外该品对心血管系统及血液有影响；对子宫及肠平滑肌有影响；还具有抗癌作用和解热作用。,清热燥湿、祛风止痒、解毒。用于风热湿毒所致的风疹、湿疹、疥癣疮癞、黄疸、尿赤、湿热、风湿痹痛…
红茶,主产地在中国、斯里兰卡、印度、印度尼西亚、肯尼亚。,红茶富含胡萝卜素、维生素A、钙、磷、镁、钾、咖啡碱、异亮氨酸、亮氨酸、赖氨酸、谷氨酸、丙氨酸、天门冬氨酸等多种营养元素。,"常喝红茶对身体健康是有很多帮助的，能够抗癌、抗氧化;红茶中所含的茶多酚具有抗菌消炎的作用，如果眼睛出现红丝，可以每天用红茶水洗几次。你会明显的发现你的视力变得清晰明亮，而且红血丝也减少了。另外， 
红茶中含有丰富的酸素，该元素可阻止毛细血管出血。",体寒、肠胃不好、有心血管疾病患者宜食…
苦豆子,别名苦豆根、苦甘草[西北]、布亚。,苦，寒，有毒，心经，肺经。,清热利湿，止痛，杀虫。全草：用于细菌性痢疾，阿米巴痢疾。种子：用于胃痛，滴虫性肠炎，白带过多：外用治疮疖，湿疹，顽癣。,苦豆子主要生物碱属于喹里西啶生物碱，一般称之为羽扇生物碱，具有清热解毒、抗菌消炎作用，民间用其根治疗喉痛、咳嗽及湿疹等。经现代药理、药效学方法研究证明，苦豆子生物碱具有：抗病毒、抗肿瘤、抗心律失常、抗炎、抗变态反应、抗溃疡、升高白细胞、平喘、清热、止痛、杀虫、镇静、镇痛和多种保健功效…
三颗针,为小檗科植物刺黑珠、毛叶小檗、黑石珠等的根皮或茎皮。别名：钢针刺、刺黄连。,性寒，微苦，无毒。,1.细叶小檗分布东北、华北及狭西、山东、河南等地。2.刺黑珠分布湖北、四川、贵州等地。3.蓝果小檗公布河北、四川、云南。4.猫刺小檗，分布于狭西、甘肃、湖北、四川等地。5.匙叶小檗分布秦岭西端甘肃南部至西部、青海东部及新疆等地区。,配栀子：二药合用，清热利湿，消退黄疸；配黄连：清热利湿，凉血止血，效果更佳；配薄荷：清解风热，专利咽喉；本品脾胃虚寒者慎用…
地胆头,地胆头，别名苦地胆、天芥菜，分布在中国南方各省，特别在广东、广西和福建多见。,味苦辛，性寒。,有清热解毒、消肿利尿、凉血之功效。,治感冒、菌痢、胃肠炎、扁桃体炎、咽喉炎、肾炎水肿、结膜炎、疖肿等症。
马尾连,别名马尾黄连，以根部入药。春、秋季将根挖出，剪去地上茎叶，洗去泥土，晒干。,苦，寒。,《纲目拾遗》：去皮里膜外及筋络之邪热，小儿伤风及痘科用;《西藏常用中草药》：清热解毒，祛风凉血，消炎止痢。治结膜炎，传染性肝炎，痈肿疮疖，痢疾。叶、花治关节炎;《新疆中草药手册》：清热燥湿。,清热燥湿，泻火解毒。用于肠炎，痢疾，黄疸，目赤肿痛…
芦荟胶,"芦荟胶是以""冷冻稳定法""技术从天然草本植物""芦荟""中萃取而成，其纯度非常高，无毒副作用。",无味、苦涩。,作为护肤品，具有消炎、杀菌；止血、镇痛、消肿、止痒、复健、再生、抗过敏、加速伤口愈合、减少疤痕的作用。,芦荟胶可以食用，对于镇定安宁、肚痛、喉咙痛等内部症状有一定的缓解作用，还有清目明目的功效。除此之外，年长者经常涂用，还可预防白内障。芦荟胶还有有激活细胞活力，延缓皮肤衰老，收敛，调和皮肤的作用…
蛇莓,蛇莓别名：蛇泡草、龙吐珠，多野生于山坡、草地上、路旁、沟边或田埂杂草中。,味甘、苦，性寒。,有清热解毒、活血散瘀、收敛止血作用。,治热病、惊痫、咳嗽、吐血、咽喉肿痛、痢疾、痈肿、疔疮、蛇虫咬伤、汤火伤。…
委陵菜,本品为蔷薇科植物委陵菜的干燥全草。春季未抽茎时采挖，除去泥沙，晒干。别名：毛鸡腿子、野鸡膀子、蛤蟆草、山萝卜、翻白草、白头翁,苦，寒。归肝、大肠经。,清热解毒，凉血止痢。用于赤痢腹痛，久痢不止，痔疮出血，痈肿疮毒。,热毒泻痢。本品苦寒，清热解毒，长于清泻大肠热毒，可单用本品研末冲服，治疗热毒泻痢或湿热泻痢；血热出血。本品寒凉，入肝经血分，能清血分热邪而凉血止血…
金线莲,金线莲，中药正名为金线兰。为兰科开唇兰属植物花叶开唇兰和金线兰的全草。,味淡，性微温，有小毒。,有清热凉血、祛风利湿、解毒、止痛、镇咳等功效。,主治咯血、支气管炎、肾炎、膀胱炎、糖尿病、血尿、风湿性关节炎肿瘤等疑难病症。…
翻白草,又名鸡腿根、鸡腿子、白头翁[广西、福建]、叶下白、郁苏参、鸡爪参、土洋参。,甘、微苦，平。,清热，解毒，止血，消肿。治痢疾，疟疾，肺痈，咳血，吐血，下血，崩漏，痈肿，疮癣，瘰疬结核。,治细菌性痢疾，阿米巴痢疾，治疟疾寒热及无名肿毒，治肺痈，治咳嗽，治痰喘，治吐血不止，治崩中下血，治大便下血，治创伤出血，治血友病，治脾胃虚弱白带，治腮腺炎，治疔毒初起，不拘已或未成…
赶黄草,赶黄草一般指扯根菜，又名赶黄草、水泽兰等，为虎耳草科扯根菜属植物扯根菜的地上部分。,性温，味甘，无毒。,具有清热解毒、退黄化湿、活血散瘀、利水消肿之功效。,主治黄疸、水肿、经闭、血崩、带下、跌打损伤，及各种急慢性肝炎、胆囊炎、脂肪肝等症。…
半边莲,别名 细米草、半边花、急解索、半边菊、金菊草。多年生矮小草本，高5~15厘米。全株光滑无毛，有乳汁。,性平，味辛。归心经、小肠经、肺经。,利尿消肿、清热解毒。属清热药下属分类的清热解毒药。主治：小便不利，面目浮肿、蛇虫咬伤、胃癌肠癌、食管癌、肝癌及其并发腹水等病症。,可归类在清热解毒药中，也可归类在利水化湿药中。既是著名的解蛇毒药，又是著名的治水肿药…
白花蛇舌草,别名蛇舌草、蛇舌癀、蛇针草、蛇总管、二叶葎、白花十字草、尖刀草、甲猛草、龙舌草、蛇脷草、鹤舌草。,味苦甘，性寒，无毒。,清热解毒、消痛散结、利尿除湿。,可治疗多种疾病，主肺热喘咳，咽喉肿痛，肠痈，疖肿疮疡，毒蛇咬伤，热淋涩痛，水肿，痢疾，肠炎，湿热黄疸，癌肿。在临床实践中，可治小儿肺炎、急性扁桃体炎、阑尾炎、输精管结扎术后副睾郁积症、盆腔炎、附件炎、子宫肌瘤、乙肝、尿路感染、肾积水、湿疹等症…
山慈菇,别称金灯花、鹿蹄草、山茨菇、慈姑、毛慈姑、人头七。,甘、微辛，凉。归肝、脾经。,1.杜鹃兰分布于长江流域以南地区及山西、陕西、甘肃等地。2.独蒜兰分布于华东、中南、西南及陕西、甘肃等地。3.云南独蒜兰分布于四川西南部、贵州西部至北部、云南西北部至东南部、和西藏东南部。,清热解毒，化痰散结。主治痈肿疔毒，瘰疬痰核，蛇虫咬伤，瘸瘕痞块…
枸杞根,：地骨皮，别名：枸杞皮，为茄科、枸杞属植物，是枸杞的根皮。可入药，具有凉血除珍、清肺降火等功效。,：甘，寒。,：凉血除蒸，清肺降火。,：治虚劳潮热盗汗，肺热咳喘，吐血，衄血，血淋，消渴，高血压，痈肿，恶疮。
熊胆,熊科动物黑熊、东北马熊或棕熊胆囊内的干燥胆汁。别名：狗熊胆、黑瞎子胆。,苦，寒。,清热解毒；平肝明目；杀虫止血。主湿热黄疸；暑湿泻痢；热病惊痫；目赤翳障；喉痹；鼻蚀；疔疮；痔漏；疳疾；蛔虫，多种出血。,所含胆汁酸盐有利胆作用，可显著增加胆汁分泌量，对总胆管、括约肌有松弛作用；鹅去氧胆酸有溶解胆结石作用。其所含熊去氧胆酸能降低血中胆固醇和甘油三酯；并有很强的解痉作用。脾胃虚寒者忌服，虚寒证当禁用…
香蕉,别称金蕉、弓蕉。,香蕉是淀粉质丰富的有益水果。味甘性寒，可清热润肠，促进肠胃蠕动，但脾虚泄泻者却不宜。根据“热者寒之”的原理，最适合燥热人士享用。痔疮出血者、因燥热而致胎动不安者，都可生吃蕉肉。,民间验方用香蕉炖冰糖，医治久咳;用香蕉煮酒，作为食疗。近代医学建议，用香蕉可治高血压，因它含钾量丰富，可平衡钠的不良作用，并促进细胞及组织生长。用香蕉可治疗便秘，因它能促进肠胃蠕动。,香蕉延年益寿，老少皆宜，是减肥者的首选…
千里光,又名九里明、九里光、黄花母、九龙光、九岭光。是一种中草药，生于山坡、疏林下、林边、路旁、沟边草丛中。多年生蔓性草木，长2～5米。根状茎圆柱形，土黄色，下生多条粗壮根及少量须根。茎圆柱形细长，曲折稍呈“之”字形上升，上部多分枝，有毛，后渐脱落。叶椭圆状或卵状披针形。清热解毒，凉血消肿，清肝明目。用于风火赤眼，疮疖肿毒，皮肤湿疹及痢疾腹痛等病症。五钱至一两，煎服。外用鲜全草适量，捣烂敷或煎水洗…,,,
白蔹,又名山地瓜、野红薯、山葡萄秧、白根、五爪藤等，为葡萄科植物白蔹的干燥块根。分布于华北、东北、华东、中南及陕西、宁夏、四川等地。春、秋二季采挖，除去泥沙及细根，切成纵瓣或斜片，晒干。,味苦、性寒。,清热解毒;散结止痛;生肌敛疮。,主治疮疡肿毒，瘰疬，烫伤，湿疮，温疟，惊痫，血痢，肠风，痔漏，白带，跌打损伤，外伤出血…
四季青,为冬青科冬青属植物冬青以根皮、叶及种子入药。根皮、叶全年可采；种子秋、冬采，分别晒干。别名：红冬青、油叶树、树顶子,苦，寒。,清热解毒；生肌敛疮；活血止血。主肺热咳嗽；咽喉肿痛；痢疾；腹泻；胆道感染；尿路感染；冠心病心绞痛；烧烫伤；热毒痈肿；下肢溃疡；麻风溃疡；湿疹；冻疮；皲裂；血栓闭塞性脉管炎；外伤出血,内服：煎汤。外用：适量，鲜品捣敷；或水煎洗、涂…
普洱茶,属于黑茶，因产地旧属云南普洱府），故得名。,温和。,降脂、减肥、养颜、降压、抗动脉硬化；防癌、抗癌；健齿护齿；护胃、养胃；抗衰老；防辐射；美容；明目；养脚。,普洱茶中含有丰富的矿质元素和有机物。它们作为营养成普洱茶分和药理成分作用于人体。且长期饮用普洱茶无副作用。普洱茶经微生物作用，大分子多糖类物质转化成了大量新的可溶性单糖和寡糖…
绿豆,又名青小豆、菉豆、植豆，是豆科蝶形花亚科豇豆属植物。,绿豆味甘、性寒，无毒，归心，胃经。,解暑消渴，感冒发热，霍乱吐泻，痰热哮喘，头痛目赤，口舌生疮，水肿尿少，小便不利，疮疡痈肿，风疹丹毒，药物及食物中毒，有机磷农药中毒、铅中毒、酒精中毒，金石丹火药毒，乌头毒，巴豆毒，烧伤，腮腺炎，复发性口疮，高血压，降血脂，抗肿瘤，抗菌等。,用于治疗荨麻疹等过敏反应。绿豆含丰富胰蛋白酶抑制剂，可以保护肝脏，减少蛋白分解，减少氮质血症，因而保护肾脏等…
蚤休,百合科植物七叶一枝花、金线重楼及其数种同属植物的根茎，又名蚩休、重楼、重台、草甘遂苦辛，寒，有毒。①《本经》：味苦，微寒。②《别录》：有毒。③《日华子本草》：冷，无毒。④《滇南本草》：性微寒，味辛苦。清热解毒，平喘止咳，熄风定惊。治痈肿，疔疮，瘰疬，喉痹，慢性气管炎，小儿惊风抽搐，蛇虫咬伤。体虚，无实火热毒，阴证外疡及孕妇均忌服。①《本草汇言》：热伤营阴吐衄血证忌用之。②《本经逢原》：元气虚者禁用…,,,
菊花茶,菊花为菊科多年生草本植物，是中国传统的常用中药材之一，主要以头状花序供药用。,甘苦，性微寒。,有散风清热、清肝明目和解毒消炎等作用；具有降血压、消除癌细胞、扩张冠状动脉和抑菌的作用，长期饮用能增加人体钙质、调节心肌功能、降低胆固醇。对肝火旺、用眼过度导致的双眼干涩也有较好的疗效。,需要注意的是，菊花性凉，虚寒体质、平时怕冷、易手脚发凉的人不宜经常饮用…
马鞭草,紫顶龙芽草、野荆芥、龙芽草、凤颈草、蜻蜓草、退血草、燕尾草。,性凉， 味微葳， 有凉血、散瘀、通经、清热、解毒、止痒、驱虫、消胀的功效。,清热解毒，活血散瘀，利水消肿。治外感发热，湿热黄疸，水肿，痢疾，疟疾，白喉，喉痹，淋病，经闭，症瘕，痈肿疮毒，牙疳。,活血散瘀，截疟，解毒，利水消肿。用于症瘕积聚，经闭痛经，疟疾，喉痹，痈肿，水肿，热淋…
雪胆,别名曲莲、罗锅底、苦金盆、蛇莲、金腰莲、金龟莲、金盆、赛金刚。,苦，寒，有小毒。,在体外对弗氏痢疾杆菌、溶血性链球菌、金黄色葡萄球菌、猪霍乱沙门氏菌等都有不同程度的抗菌作用，有效浓度为0.1μg/ml，效力与氯霉素相近或更强。对伤寒杆菌、大肠杆菌在10-100μg/ml浓度时也有抑菌作用。,清热解毒，健胃止痛。用于胃痛，溃疡病，上呼吸道感染，支气管炎，肺炎，细菌性痢疾，肠炎，泌尿系感染，败血症及其他多种感染…
灯心草,：为灯心草科植物灯心草的干燥茎髓。夏末至秋季割取茎，晒干，取出茎髓，理直，扎成小把。,：甘、淡，微寒。,：清心火，利小便。,：治淋病，水肿，小便不利，湿热黄疸，心烦不寐，小儿夜啼，喉痹，创伤。
三丫苦,又名：三叉虎、斑鸠花、三枝枪、三叉苦、三丫虎、三拜苦、小黄散、消黄散。,苦，寒。,清热，解毒，祛风，除湿。治咽喉肿痛，疟疾，黄疸型肝炎，风湿骨痛，湿疹，皮炎，疮疡。,用量15~30克，煎服，或研粉入丸散。外用鲜叶捣烂敷或煎水洗患处。用治热病高热不退、咽喉肿痛、热毒疮肿、风湿痹痛、湿火骨痛、毒蛇咬伤、胃热痛、跌打肿痛。外用治肤湿热疮、皮肤瘙痒、痔疮…
木芙蓉叶,是一种干燥叶片，有叶柄，粗约0.3厘米，黄褐色；叶片大形，常折叠，叶面灰绿色，叶背淡绿色，脉隆起，枝灰色星状毛。,“微辛，平，无毒。”,凉血，解毒，消肿，止痛。治痈疽焮肿，缠身蛇丹，烫伤，目赤肿痛，跌打损伤。,治疗局部化脓性感染：取木芙蓉叶、花晒干，研粉过筛，加凡士林调制成1：4软膏，外敷患处；治疗烫伤：用木芙蓉叶1斤，加凡士林2斤，文火煎熬至叶枯焦，过滤去渣，摊于消毒敷料上，或制成芙蓉叶膏外敷，每日换药1次…
荸荠,又名马蹄、水栗、芍、凫茈、乌芋、菩荠、地梨，荸荠皮色紫黑，肉质洁白，味甜多汁，清脆可口，有“地下雪梨”之美誉，北方人称之为“江南人参”，既可做水果生吃，又可做蔬菜食用。,凉，甘。,具有清热解毒、凉血生津、利尿通便、化湿祛痰、消食除胀的功效。,可用于治疗黄疸、痢疾、小儿麻痹、便秘等疾病；荸荠含有一种抗菌成分，对降低血压有一定效果，这种物质还对癌症有防治作用…
半枝莲,又名并头草，狭叶韩信草，牙刷草，挖耳草，虎咬红。,半枝莲味辛、苦，性寒。归肺、肝、肾经。,清热解毒，散瘀止血，定痛，治吐血，鼻出血，咯血，血淋，赤痢，黄疸，肺痈，疔疮，瘰疬，疮毒，癌肿，跌打损伤，刀伤，毒蛇咬伤，抗癌抑瘤，咽喉炎，咽喉肿痛，肝炎，尿道炎，小便血尿疼痛，胃气痛，抑菌，解痉祛痰，免疫调节，降压，利尿，白血病等。,用于与白花蛇舌草配合使用，用来延长肠癌患者的生存寿命，辛荑半枝莲炖墨鱼通鼻窍、抗癌肿，鼻咽癌患者常食有疗效等…
铁苋,为大戟科植物铁苋菜的全草。5～7月间采收，除去泥土，晒干。别名：人苋、海蚌含珠、撮斗撮金珠、六合草、半边珠、野黄麻、王碗捧真珠、粪斗草、血见愁、凤眼草、肉草、喷水草、小耳朵草、大青草,苦涩，平。,清热，利水，杀虫，止血。治痢疾，腹泻，咳嗽吐血，便血，子宫出血，疳积，腹胀，皮炎，湿疹，创伤出血。,①治疗菌痢、肠炎②治疗阿米巴痢疾③治疗肠伤寒。孕妇忌用，老弱气虚者少用…
青橄榄,：为橄榄科植物橄榄的果实。果实成熟后采摘，晒干或阴干，或用盐水浸渍后晒干。,：甘;酸;涩;性平。,：清肺利咽;生津止渴;解毒。,：主咳嗽痰血;咽喉肿痛;暑热烦渴;醉酒;鱼蟹中毒。
橄榄,别名橄榄子、橄棪、忠果、青果、青子、谏果、青橄榄、白榄、黄榄、甘榄、余甘子。橄榄营养丰富，含有17种人体所需要的氨基酸，果肉富含钙质与维生素C，果实常常加工成拷扁榄、大福果、十香橄榄、去皮酥、咸橄榄、玫瑰橄榄等。,味甘酸，性平。归脾、胃、肺经。,有清热解毒、利咽化痰、生津止渴、除烦醒酒之功。,适用于咽喉肿痛、暑热烦渴、咳嗽痰血，醉酒，鱼蟹中毒等。冬春季节，每日嚼食2～3枚鲜橄榄，可防止上呼吸道感染。儿童经常食用，对骨骼的发育大有益处…
无花果,是一种开花植物，别名阿驲、阿驿、映日果、优昙钵、蜜果、文仙果、奶浆果、品仙果。,性平，味甘。,健胃清肠，消肿解毒。,治肠炎，痢疾，便秘，痔疮，喉痛，痈疮疥癣，利咽喉，开胃驱虫。用于食欲不振，脘腹胀痛，痔疮便秘，消化不良，痔疮，脱肛，腹泻、乳汁不足，咽喉肿痛，热痢，咳嗽多痰等症…
茵陈,为菊科植物茵陈蒿的幼苗，又名绵茵陈、茵陈蒿、白蒿、绒蒿、猴子毛、松毛艾多卷曲成团状，灰白色或灰绿色，全体密被白色茸毛，绵软如绒。茎细小，长1。5～2。5cm，直径0。1～0。2cm，除去表面白色茸毛后可见明显纵纹；质脆，易折断。叶具柄；展平后叶片呈一至三回羽状分裂，叶片长1～3cm，宽约1cm；小裂片卵形或稍呈倒披针形、条形，先端尖锐。气清香，味微苦。清湿热，退黄疸。用于黄疸尿少、湿疮瘙痒、传染性黄疸型肝炎。6～15g。外用适量，煎汤熏洗…,,,
余甘子,本品系藏族习用药材。为大戟科油柑属植物余甘子的干燥成熟果实。冬季至次春果实成熟时采收，除去杂质，干燥。又名牛甘子、橄揽子、喉甘子、鱼木果、橄榄本品呈球形或扁球形，直径1.2～2cm。表面棕褐色至墨绿色，有浅黄色颗粒状突起。外果皮厚1～4mm，质硬而脆。气微，味酸涩，回味甜。《中国药典》：清热凉血，消食健胃，生津止咳。用于血热血瘀，消化不良，腹胀，咳嗽，喉痛，口干。果：3～9g，多入丸散服。根：0.5～1两，叶3～6钱；外用适量，煎水洗患处…,,,
朱砂根,,苦、辛，平。,清热药，清热解毒药，止痛药。行血祛风，解毒消肿。抑菌作用：25％煎剂试管内对金黄色葡萄球菌、大肠杆菌、绿脓杆菌有轻度的抑制作用；抗早孕作用：60％的乙醇提取物有抗早孕作用。,用于上呼吸道感染，咽喉肿痛，扁桃体炎，白喉，支气管炎，风湿性关节炎，腰腿痛，跌打损伤，丹毒，淋巴结炎；外用治外伤肿痛，骨折，毒蛇咬伤…
土牛膝,为苋科牛膝属植物土牛膝以根（土牛膝）或全草（倒扣草）入药。夏、秋才收，除去茎叶，将根晒干，即为土牛膝；若将全草晒干则为倒扣草。,微苦，凉。,活血散瘀，祛湿利民，清热解毒。治淋病，尿血，妇女经闭，症瘕，风湿关节痛，脚气，水肿，痢疾，疟疾，白喉，痈肿，跌打损伤。,①治男妇诸淋，小便不通②治血滞经闭③治风湿性关节痛④治肝硬变水肿⑤治痢疾⑥治白喉⑦治白喉并发心肌炎⑧治扁桃腺炎⑨治急性中耳炎⑩治足腿红肿放亮，其热如火，名流火丹…
肿节风,为金粟兰科植物草珊瑚的干燥全株。夏、秋二季采收，除去杂质，晒干。别名接骨金粟兰、九节茶、九节花、九节风、竹节茶、接骨莲、观音茶、接骨木、九节风、驳节茶、鸭脚节、山牛膝、珍珠兰等。,味苦、辛、性平。归心、肝经。,功能主治抗菌消炎凉血清热解毒，祛风通络，活血散结。,用于血热紫斑、紫癜，风湿痹痛，跌打损伤。肢体麻木，骨折，妇女痛经，产后瘀滞腹痛，肺炎，急性阑尾炎，急性胃肠炎，菌痢，胆囊炎，脓肿，口腔炎，风湿痹痛。肿节风片与肿节风注射液联合用于消化道癌、胰腺癌、肝癌等肿瘤…
白头翁,别名毛姑朵花、老婆子花、老公花、野丈人、胡王使者、白头公，毛茛科，银莲花属多年生草本植物，长有根状茎，叶片呈卵形，花萼蓝紫色。,味苦、性寒。归胃经、大肠经。,抗阴道毛滴虫、抗氧化、抗炎、杀虫、抑菌。,治疗痔疮等出血症状;治热毒血痢，温疟寒热，鼻衄，血痔;临床应用治疗原虫性痢疾、治疗细菌性痢疾、治疗瘰疬、治疗疖痈…
马齿苋,又名马苋，五行草，长命菜，瓜子菜，马齿菜，马生菜。,马齿苋味甘酸，性寒，无毒，入心、肝、脾、大肠经。,清热解毒，利水去湿，散血消肿，除尘杀菌，消炎止痛，止血凉血，痢疾，肠炎，肾炎，产后子宫出血，便血，乳腺炎，急性关节炎、膀胱炎、尿道炎、肛门炎、痔疮出血，溃疡愈合，高血压，糖尿病，小儿单钝性腹泻，小儿百日咳，急性阑尾炎，淋巴结核溃烂等。,因含去甲肾上腺素，能促进胰岛腺分泌胰岛素，降低血糖浓度、所以对糖尿病有一定的治疗作用。此外，对心血管有保护作用等…
鸦胆子,鸦胆子，又名老鸦胆、鸦胆、苦榛子、苦参子、鸦蛋子、鸭蛋子、鸭胆子、解苦楝、小苦楝。,苦，寒；有小毒。归大肠、肝经。,清热解毒，截疟，止痢，腐蚀赘疣。用于痢疾，疟疾；外治赘疣，鸡眼。,杀虫；主热毒血痢；冷痢；休息痢；疟疾；痔疮；痈肿；阴痒；白带等。
地锦草,别名草血竭、血见愁草、血见愁、小虫儿卧单、铁线草、普瓣草、血风草、马蚁草、雀儿卧单、猢狲头草、扑地锦、奶花草、奶草、奶汁草、铺地锦、铺地红、红莲草、斑鸠窝、三月黄花、地蓬草、铁线马齿苋、蜈蚣草、奶疳草、红茎草、红斑鸠窝、地马桑、红沙草、凉帽草、小苍蝇翅草、红丝草、小红筋草等。,味辛、性平。,清热解毒，利湿退黄，活血止血。,主痢疾，泄泻，黄疸，咳血，吐血，尿血，便血，崩漏，乳汁不下，跌打肿痛及热毒疮疡…
木蝴蝶,又名千张纸、兜铃、大刀树、三百两银药、玉蝴蝶、破布子、白故纸、海船果心、白玉纸、满天飞叶对生，2-3回羽状复叶，着生于茎的近顶端；小叶多数，卵形，全缘。总状花序顶生，长约25厘米。花大，紫红色，两性。花萼肉质，钟状。蒴果长披针形，扁平，木质。种子扁圆形，边缘具白色透明的膜质翅。花期6-9月。清肺利咽，疏肝和胃。用于肺热咳嗽，喉痹，音哑，肝胃气痛。主产于云南思茅、普洱、墨江，广西百色、宁明、龙津，贵州安龙、望谟、罗甸。销全国并出口。此外海南省、广东和四川有少量生产…,,,
椿皮 ,别名臭椿、椿根皮、樗白皮、樗根皮。,苦、涩，寒。归大肠、胃、肝经。,清热燥湿，收涩止带，止泻，止血。用于赤白带下，湿热泻痢，久泻久痢，便血，崩漏。,椿皮，专以固摄为用，故泻痢肠风，遗浊崩带者，并主之。然必病久而滑，始为相宜，若新病蚤服，强勉固涩，必变他症而成痼疾矣。凡用刮去粗皮，生用则能通利，酸醋炙即能固涩…
青蒿,别名草蒿，廪蒿，茵陈蒿、邪蒿，香蒿，苹蒿，黑蒿，白染艮，苦蒿,苦，辛，寒。归肝、胆经、三焦、肾经。,清透虚热，凉血除蒸，解暑，截疟。用于暑邪发热，阴虚发热，夜热早凉，骨蒸劳热，疟疾寒热，湿热黄疸。该品苦寒清热，辛香透散，善使阴分伏热透达外散，为阴虚发热要药，此外兼有解暑，截虐之功。,青蒿性味苦寒，但不伤脾胃。具有清热解暑，退虚热、宣化湿热的功效。青蒿含有挥发油、青蒿素等成分，有明显的降温解热作用，还能帮助排汗。所以，夏日将青蒿水煎液作为清凉饮料，是防治中暑的良药…
白薇,别名：薇草、知微老、老瓜瓢根、山烟根子、百荡草、白马薇、白前、老君须。,味苦；咸；性寒。肺经；胃经；肝经,清热凉血，利尿通淋，解毒疗疮。清热凉血，利尿通淋，解毒疗疮。用于阴虚内热，风温灼热失眠，肺热咳血，温疟，产后虚烦血厥，热淋，血淋，风温痛，瘰疬。,用于阴虚内热，风温灼热失眠，肺热咳血，温疟，产后虚烦血厥，热淋，血淋，风温痛，瘰疬…
